sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
39865459384,2023-01-19T06:33:30Z,78,21,21,36,56,72,0.08367071524966262
39852823120,2023-01-18T06:34:00Z,80,21,23,36,82,73,0.05308464849354376
39827588605,2023-01-16T09:32:30Z,72,18,17,37,48,73,0.15920398009950248
39817738697,2023-01-15T09:25:30Z,72,18,19,35,43,71,0.0563165905631659
39805446353,2023-01-14T09:30:00Z,75,19,22,34,39,71,0.0391156462585034
39803531781,2023-01-13T06:33:00Z,68,16,20,32,59,70,0.0702054794520548
39779526065,2023-01-12T11:02:00Z,67,16,16,35,53,69,0.11778290993071594
39765990764,2023-01-11T06:06:00Z,87,21,23,43,75,70,0.07292817679558011
39756388209,2023-01-09T04:32:30Z,66,17,16,33,76,71,0.08497723823975721
39756388208,2023-01-08T08:14:30Z,77,17,19,41,74,72,0.0779768177028451
39756388207,2023-01-07T07:17:00Z,80,21,17,42,92,71,0.07529162248144221
39756388206,2023-01-06T06:15:00Z,85,21,22,42,80,71,0.08161044613710555
39756388205,2023-01-05T07:39:30Z,92,23,22,47,110,72,0.07477567298105683
39756388204,2023-01-04T07:46:30Z,88,22,21,45,95,72,0.07393364928909953
39641614644,2023-01-01T09:23:00Z,82,19,21,42,101,73,0.08278867102396514
39629939166,2022-12-31T09:27:30Z,71,18,17,36,52,70,0.06241331484049931
39617549247,2022-12-30T07:41:30Z,82,22,21,39,89,72,0.07168458781362007
39606173740,2022-12-29T08:36:00Z,85,22,21,42,90,74,0.09846153846153846
39549204817,2022-12-24T07:43:00Z,77,20,15,42,51,74,0.08672936259143156
39538244735,2022-12-23T06:37:30Z,64,17,15,32,24,72,0.08776978417266187
39528690358,2022-12-22T06:32:30Z,76,18,22,36,51,72,0.05912596401028278
39516675125,2022-12-21T06:34:30Z,82,21,22,39,104,72,0.0665163472378805
39504766154,2022-12-20T06:23:30Z,83,21,23,39,69,73,0.08116545265348596
39491999387,2022-12-19T06:10:30Z,85,22,23,40,99,76,0.056308654848800835
39470603602,2022-12-17T07:13:00Z,78,22,20,36,92,76,0.09914320685434516
39460069381,2022-12-16T07:16:30Z,85,21,24,40,78,76,0.05870646766169154
39446117612,2022-12-15T06:38:30Z,86,23,22,41,111,76,0.06910994764397906
39434307767,2022-12-14T06:34:30Z,75,21,22,32,42,73,0.05555555555555555
39408656941,2022-12-11T07:49:30Z,77,18,21,38,72,71,0.09165526675786594
39408656940,2022-12-10T08:11:00Z,85,22,21,42,106,71,0.09052183173588925
39408656938,2022-12-09T09:46:00Z,70,20,13,37,54,70,0.05714285714285714
39408656936,2022-12-08T06:13:30Z,76,20,22,34,44,70,0.0824524312896406
39408656935,2022-12-07T06:09:30Z,79,21,22,36,70,70,0.08683853459972862
39166584579,2022-11-21T05:58:00Z,81,21,23,37,75,73,0.07797537619699042
39118582283,2022-11-17T06:05:00Z,77,21,22,34,82,73,0.0606826801517067
39108241612,2022-11-16T06:07:00Z,87,21,23,43,69,73,0.061714285714285715
39096998672,2022-11-15T06:04:00Z,76,20,23,33,71,72,0.04595879556259905
39085675983,2022-11-14T06:06:30Z,79,19,22,38,66,70,0.09523809523809523
39085675982,2022-11-13T10:11:30Z,66,17,15,34,51,70,0.05701078582434515
39085675981,2022-11-12T03:55:30Z,75,21,18,36,64,69,0.060092449922958396
39085675980,2022-11-11T08:13:00Z,82,22,21,39,89,69,0.06844547563805105
39085675978,2022-11-10T06:13:30Z,83,20,21,42,70,69,0.07596253902185224
39085675976,2022-11-09T01:37:00Z,63,17,16,30,41,69,0.05555555555555555
39085675975,2022-11-08T07:55:00Z,89,23,20,46,121,68,0.0843155031731641
37885593153,2022-08-04T07:40:30Z,84,21,21,42,69,68,0.07897664071190211
37874893377,2022-08-03T07:53:00Z,81,21,20,40,67,67,0.07047387606318348
37863255151,2022-08-02T08:21:30Z,62,16,20,26,30,69,0.11447811447811448
37851584396,2022-08-01T08:32:30Z,86,22,22,42,100,70,0.07659115426105717
37840526431,2022-07-31T08:03:00Z,80,18,19,43,70,70,0.06764374295377677
37817422303,2022-07-29T07:42:30Z,84,22,22,40,86,70,0.09132947976878612
37805929626,2022-07-28T07:40:00Z,83,22,21,40,97,70,0.0743321718931475
37794287296,2022-07-27T07:47:30Z,79,17,23,39,48,70,0.07303370786516854
37783724308,2022-07-26T07:48:30Z,80,18,20,42,99,69,0.10010764262648009
37765638101,2022-07-25T07:53:00Z,83,21,23,39,59,70,0.07160493827160494
37741334647,2022-07-23T08:49:30Z,79,22,15,42,88,68,0.09081527347781218
37729230842,2022-07-22T08:38:00Z,86,21,22,43,69,68,0.06571741511500548
37714886449,2022-07-21T07:46:00Z,77,21,20,36,68,68,0.0611353711790393
37703374553,2022-07-20T07:47:30Z,81,21,21,39,55,69,0.07491082045184304
37689947789,2022-07-19T07:39:30Z,83,21,23,39,69,71,0.0710128055878929
37655304795,2022-07-16T07:18:30Z,81,21,22,38,61,72,0.07453416149068323
37644806939,2022-07-15T07:59:00Z,80,23,21,36,112,73,0.07942708333333333
37633934776,2022-07-14T06:47:00Z,80,21,22,37,80,72,0.052770448548812667
37633934775,2022-07-13T07:38:00Z,82,21,19,42,80,72,0.08324768756423433
37609247477,2022-07-12T07:45:00Z,79,21,19,39,57,71,0.06177156177156177
37597546519,2022-07-11T07:46:30Z,83,21,20,42,65,70,0.08483563096500531
37586833274,2022-07-10T09:16:00Z,86,22,19,45,90,70,0.08711433756805807
37525602902,2022-07-05T07:30:30Z,88,21,24,43,79,72,0.07078651685393259
37495272018,2022-07-02T07:04:30Z,78,21,20,37,80,73,0.08480565371024736
37479475395,2022-07-01T08:59:30Z,79,21,22,36,45,74,0.0847457627118644
37453066367,2022-06-29T07:19:30Z,79,21,20,38,72,73,0.10265282583621683
37445111774,2022-06-28T07:23:30Z,81,21,22,38,79,73,0.07644882860665844
37445111773,2022-06-25T07:06:30Z,85,22,20,43,90,71,0.05851063829787234
37445111772,2022-06-24T06:01:30Z,86,22,22,42,92,71,0.08795811518324607
37445111771,2022-06-23T05:56:30Z,79,21,21,37,68,71,0.09325153374233129
37445111770,2022-06-22T05:55:00Z,84,22,20,42,124,71,0.06288032454361055
37332319733,2022-06-19T08:34:30Z,75,18,19,38,85,68,0.06942752740560293
37307491751,2022-06-17T05:49:00Z,84,22,19,43,93,67,0.07407407407407407
37299832072,2022-06-16T05:58:00Z,84,21,20,43,65,68,0.05849889624724062
37299832071,2022-06-15T05:59:30Z,65,16,21,28,54,68,0.10676691729323308
37299832069,2022-06-14T06:01:30Z,78,21,18,39,42,69,0.09159347553324969
37299832068,2022-06-12T08:45:30Z,83,21,19,43,82,68,0.0737527114967462
37299832067,2022-06-11T09:01:30Z,76,20,17,39,107,67,0.0832553788587465
37299832066,2022-06-10T05:57:00Z,81,21,21,39,67,67,0.06650544135429262
37059560413,2022-05-28T07:46:00Z,86,23,17,46,113,68,0.0669683257918552
37047024066,2022-05-27T05:58:30Z,81,21,21,39,72,68,0.06839622641509434
37033820326,2022-05-26T06:05:00Z,84,22,19,43,93,67,0.046511627906976744
37024658641,2022-05-25T05:57:30Z,81,21,21,39,54,68,0.07364341085271318
