date_time,heart_zone_id,total_minutes
2021-12-02T11:27,FAT_BURN,1
2021-12-02T11:28,CARDIO,2
2021-12-02T11:29,FAT_BURN,1
2021-12-02T11:32,CARDIO,2
2021-12-02T11:33,CARDIO,2
2021-12-02T11:34,FAT_BURN,1
2021-12-02T13:42,FAT_BURN,1
2021-12-02T13:43,FAT_BURN,1
2021-12-02T13:44,FAT_BURN,1
2021-12-02T13:45,FAT_BURN,1
2021-12-02T13:48,FAT_BURN,1
2021-12-02T15:52,FAT_BURN,1
2021-12-02T15:53,FAT_BURN,1
2021-12-02T15:54,FAT_BURN,1
2021-12-03T13:08,FAT_BURN,1
2021-12-03T13:09,FAT_BURN,1
2021-12-03T13:10,FAT_BURN,1
2021-12-03T13:11,FAT_BURN,1
2021-12-03T13:12,FAT_BURN,1
2021-12-03T13:35,FAT_BURN,1
2021-12-03T13:36,FAT_BURN,1
2021-12-03T13:37,FAT_BURN,1
2021-12-03T13:38,FAT_BURN,1
2021-12-03T13:39,FAT_BURN,1
2021-12-04T15:43,FAT_BURN,1
2021-12-04T15:44,FAT_BURN,1
2021-12-04T15:45,FAT_BURN,1
2021-12-04T15:46,FAT_BURN,1
2021-12-04T15:47,FAT_BURN,1
2021-12-04T18:18,FAT_BURN,1
2021-12-04T18:19,FAT_BURN,1
2021-12-04T18:43,FAT_BURN,1
2021-12-04T18:44,FAT_BURN,1
2021-12-04T18:46,FAT_BURN,1
2021-12-04T19:15,FAT_BURN,1
2021-12-04T19:16,FAT_BURN,1
2021-12-04T19:17,FAT_BURN,1
2021-12-04T19:18,FAT_BURN,1
2021-12-04T19:19,FAT_BURN,1
2021-12-04T19:20,FAT_BURN,1
2021-12-04T19:22,FAT_BURN,1
2021-12-05T15:27,FAT_BURN,1
2021-12-05T15:28,FAT_BURN,1
2021-12-05T15:29,FAT_BURN,1
2021-12-05T15:30,FAT_BURN,1
2021-12-05T15:31,FAT_BURN,1
2021-12-05T15:32,FAT_BURN,1
2021-12-05T15:33,FAT_BURN,1
2021-12-05T15:36,FAT_BURN,1
2021-12-05T15:37,FAT_BURN,1
2021-12-05T15:38,FAT_BURN,1
2021-12-05T16:17,FAT_BURN,1
2021-12-05T16:40,CARDIO,2
2021-12-05T16:41,FAT_BURN,1
2021-12-05T16:42,FAT_BURN,1
2021-12-05T16:43,FAT_BURN,1
2021-12-05T16:44,FAT_BURN,1
2021-12-05T16:45,FAT_BURN,1
2021-12-05T16:46,FAT_BURN,1
2021-12-05T16:47,FAT_BURN,1
2021-12-05T16:48,FAT_BURN,1
2021-12-05T18:42,FAT_BURN,1
2021-12-05T18:43,FAT_BURN,1
2021-12-05T18:45,FAT_BURN,1
2021-12-05T18:46,FAT_BURN,1
2021-12-05T18:48,FAT_BURN,1
2021-12-05T20:48,FAT_BURN,1
2021-12-05T20:49,FAT_BURN,1
2021-12-05T21:10,FAT_BURN,1
2021-12-05T21:11,FAT_BURN,1
2021-12-06T09:45,FAT_BURN,1
2021-12-06T09:46,FAT_BURN,1
2021-12-06T09:47,FAT_BURN,1
2021-12-06T09:48,FAT_BURN,1
2021-12-06T09:49,FAT_BURN,1
