timestamp,average_value,lower_bound,upper_bound
2022-04-03T00:00:00Z,94.9,94.9,95.3
2022-04-04T00:00:00Z,96.7,95.3,98.5
2022-04-08T00:00:00Z,94.3,92.9,95.4
2022-04-09T00:00:00Z,96.1,92.4,99.8
2022-04-10T00:00:00Z,96.1,95.2,97.0
2022-04-11T00:00:00Z,94.8,95.2,96.0
2022-04-12T00:00:00Z,97.2,93.1,100.0
2022-04-13T00:00:00Z,95.9,91.3,99.6
2022-04-14T00:00:00Z,95.9,92.4,100.0
2022-04-15T00:00:00Z,96.5,95.9,97.4
2022-04-17T00:00:00Z,94.7,93.1,97.1
2022-04-18T00:00:00Z,95.1,95.3,95.3
2022-04-19T00:00:00Z,95.6,92.2,98.8
2022-04-20T00:00:00Z,95.9,91.4,100.0
2022-04-21T00:00:00Z,96.9,96.0,97.7
2022-04-22T00:00:00Z,94.1,91.2,97.0
2022-04-23T00:00:00Z,93.6,91.8,96.1
2022-04-25T00:00:00Z,91.2,91.5,89.4
2022-04-26T00:00:00Z,93.6,91.8,95.3
2022-04-27T00:00:00Z,94.7,92.0,97.6
2022-04-28T00:00:00Z,91.6,86.6,94.6
2022-04-29T00:00:00Z,96.4,93.9,100.0
2022-04-30T00:00:00Z,93.7,93.2,94.8
2022-05-01T00:00:00Z,93.7,93.9,93.9
2022-05-02T00:00:00Z,96.7,94.3,98.4
2022-05-03T00:00:00Z,94.6,92.2,98.2
2022-05-04T00:00:00Z,94.8,92.9,98.8
2022-05-05T00:00:00Z,93.6,92.8,94.9
2022-05-06T00:00:00Z,94.3,91.2,96.9
2022-05-07T00:00:00Z,94.1,92.7,95.9
2022-05-08T00:00:00Z,94.0,94.4,94.4
2022-05-10T00:00:00Z,96.3,94.4,99.8
2022-05-11T00:00:00Z,97.5,94.1,99.9
2022-05-12T00:00:00Z,96.7,95.5,98.2
2022-05-13T00:00:00Z,95.4,92.4,97.9
2022-05-14T00:00:00Z,94.2,94.0,93.7
2022-05-16T00:00:00Z,96.2,93.3,99.8
2022-05-17T00:00:00Z,94.5,93.6,94.8
2022-05-18T00:00:00Z,95.3,92.6,99.3
2022-05-19T00:00:00Z,95.1,90.2,98.2
2022-05-20T00:00:00Z,96.3,95.1,98.5
2022-05-23T00:00:00Z,93.9,92.2,96.3
2022-05-24T00:00:00Z,95.0,92.8,98.3
2022-05-25T00:00:00Z,97.1,91.6,100.0
2022-05-26T00:00:00Z,96.0,92.5,98.4
2022-05-27T00:00:00Z,95.3,92.4,98.7
2022-05-28T00:00:00Z,97.2,95.0,99.3
2022-05-29T00:00:00Z,95.3,92.8,97.3
2022-05-30T00:00:00Z,96.3,94.9,97.5
2022-05-31T00:00:00Z,96.1,93.5,98.7
2022-06-01T00:00:00Z,95.3,94.3,97.8
2022-06-02T00:00:00Z,95.5,93.5,96.9
2022-06-03T00:00:00Z,96.5,93.2,99.8
2022-06-05T00:00:00Z,96.2,93.8,98.8
2022-06-06T00:00:00Z,95.8,91.1,99.9
2022-06-08T00:00:00Z,97.6,95.5,99.5
2022-06-09T00:00:00Z,96.1,90.3,98.9
2022-06-10T00:00:00Z,93.6,91.9,94.7
2022-06-11T00:00:00Z,96.8,95.0,99.1
2022-06-12T00:00:00Z,96.5,93.9,98.5
2022-06-14T00:00:00Z,94.5,92.9,95.9
2022-06-15T00:00:00Z,95.9,93.9,98.2
2022-06-16T00:00:00Z,96.6,93.7,100.0
2022-06-17T00:00:00Z,96.7,93.2,100.0
2022-06-19T00:00:00Z,95.6,93.4,99.4
2022-06-20T00:00:00Z,96.3,93.0,99.9
2022-06-21T00:00:00Z,94.1,92.3,97.1
2022-06-22T00:00:00Z,95.8,92.9,100.0
2022-06-23T00:00:00Z,96.8,95.4,99.5
2022-06-24T00:00:00Z,97.8,94.9,100.0
2022-06-25T00:00:00Z,95.6,93.4,100.0
2022-06-28T00:00:00Z,97.4,96.0,99.6
2022-06-29T00:00:00Z,95.0,91.7,99.5
2022-07-01T00:00:00Z,96.0,91.6,98.1
2022-07-02T00:00:00Z,96.9,94.0,99.5
2022-07-05T00:00:00Z,95.6,91.8,99.1
2022-07-10T00:00:00Z,96.1,94.2,99.4
2022-07-11T00:00:00Z,95.8,92.8,99.8
2022-07-12T00:00:00Z,95.2,91.6,99.0
