timestamp,average_value,lower_bound,upper_bound
2022-10-20T00:00:00Z,95.5,91.1,98.9
2022-10-21T00:00:00Z,95.9,93.3,97.9
2022-10-23T00:00:00Z,94.3,93.4,95.9
2022-10-24T00:00:00Z,95.9,91.8,99.3
2022-10-25T00:00:00Z,95.7,92.1,97.8
2022-10-26T00:00:00Z,95.3,91.2,99.2
2022-10-27T00:00:00Z,97.0,94.8,98.9
2022-10-28T00:00:00Z,95.4,94.0,97.2
2022-10-31T00:00:00Z,94.1,92.4,94.7
2022-11-01T00:00:00Z,95.6,91.5,100.0
2022-11-02T00:00:00Z,96.5,94.6,98.8
2022-11-03T00:00:00Z,95.6,94.5,97.7
2022-11-07T00:00:00Z,97.9,95.3,100.0
2022-11-08T00:00:00Z,94.6,90.5,97.8
2022-11-09T00:00:00Z,96.9,97.0,100.0
2022-11-10T00:00:00Z,93.8,92.2,97.2
2022-11-11T00:00:00Z,94.6,92.3,97.2
2022-11-12T00:00:00Z,95.0,92.1,97.0
2022-11-13T00:00:00Z,97.6,97.7,98.9
2022-11-14T00:00:00Z,96.9,94.1,100.0
2022-11-15T00:00:00Z,96.9,94.9,99.2
2022-11-16T00:00:00Z,95.7,94.0,98.8
2022-11-17T00:00:00Z,96.5,94.5,98.1
2022-11-21T00:00:00Z,96.9,94.3,100.0
2022-11-23T00:00:00Z,93.6,90.1,95.8
2022-11-24T00:00:00Z,95.1,93.8,96.4
2022-11-25T00:00:00Z,96.7,94.1,99.1
2022-11-26T00:00:00Z,97.7,96.5,99.4
2022-11-27T00:00:00Z,95.7,94.9,96.4
2022-11-30T00:00:00Z,96.2,95.5,96.4
2022-12-01T00:00:00Z,94.8,93.6,96.5
2022-12-02T00:00:00Z,95.2,94.2,96.5
2022-12-03T00:00:00Z,96.4,94.3,98.3
2022-12-04T00:00:00Z,95.8,81.3,100.0
2022-12-05T00:00:00Z,96.8,95.5,97.8
2022-12-07T00:00:00Z,95.2,90.9,97.7
2022-12-08T00:00:00Z,95.6,95.1,96.1
2022-12-09T00:00:00Z,94.1,92.2,94.8
2022-12-10T00:00:00Z,96.9,93.1,99.3
2022-12-11T00:00:00Z,95.2,93.6,97.4
2022-12-14T00:00:00Z,95.8,94.1,98.1
2022-12-15T00:00:00Z,95.2,93.1,97.7
2022-12-16T00:00:00Z,94.7,92.1,96.5
2022-12-17T00:00:00Z,96.0,93.7,97.7
2022-12-19T00:00:00Z,95.4,90.3,98.5
2022-12-20T00:00:00Z,95.3,93.7,97.3
2022-12-21T00:00:00Z,95.5,92.5,97.5
2022-12-22T00:00:00Z,95.6,91.5,98.2
2022-12-23T00:00:00Z,96.4,95.5,96.9
2022-12-24T00:00:00Z,96.6,94.1,100.0
2022-12-29T00:00:00Z,95.0,92.4,97.3
2022-12-30T00:00:00Z,95.4,92.3,97.0
2022-12-31T00:00:00Z,96.7,94.5,99.2
2023-01-01T00:00:00Z,96.7,93.7,99.7
2023-01-03T00:00:00Z,96.0,93.0,99.6
2023-01-04T00:00:00Z,96.8,94.4,98.8
2023-01-05T00:00:00Z,92.8,90.6,94.0
2023-01-06T00:00:00Z,94.9,92.2,97.6
2023-01-07T00:00:00Z,96.7,95.6,98.5
2023-01-08T00:00:00Z,95.4,93.1,99.1
2023-01-09T00:00:00Z,95.4,94.1,95.8
2023-01-11T00:00:00Z,94.9,92.4,96.7
2023-01-12T00:00:00Z,95.6,96.1,94.3
2023-01-13T00:00:00Z,94.3,93.1,95.5
2023-01-14T00:00:00Z,94.1,91.2,99.3
2023-01-15T00:00:00Z,96.3,91.6,100.0
2023-01-16T00:00:00Z,95.2,92.3,98.9
2023-01-18T00:00:00Z,97.6,95.5,100.0
2023-01-19T00:00:00Z,95.9,93.4,98.7
